"year","fips","total_population","state_name","abbr","pack_sales_per_capita","tax_per_pack","baseline_price_per_pack","total_cigarette_consumption","baseline_state_tax_revenue","baseline_num_smokers","baseline_prev","census_total_pop","baseline_avg_smoking_intensity","policy_prev","pct_increase_price_per_pack","pct_reduction_intensity","policy_smoking_intensity","policy_num_smokers","policy_total_cig_consumption","policy_state_tax_revenue","revenue_gain"
2093,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510486.868522283,0.101289549035082,5039877,524.239672363518,0.095200821710031,0.235849056603774,-0.0471698113207547,499.511385931276,479800.431717486,239665778.617626,641105957.80215,460464166.42965
2094,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510489.14963505,0.101290001647868,5039877,524.237329806755,0.0952047025142985,0.235849056603774,-0.0471698113207547,499.509153872474,479819.990493655,239674477.462584,641129227.212413,460487435.839913
2095,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510491.082107619,0.101290385084322,5039877,524.235345297535,0.0952082508260598,0.235849056603774,-0.0471698113207547,499.50726297218,479837.87354849,239682502.886597,641150695.221647,460508903.849146
2096,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510492.692345802,0.101290704583823,5039877,524.233691711142,0.0952114798229447,0.235849056603774,-0.0471698113207547,499.505687385145,479854.147295623,239689875.689513,641170417.469447,460528626.096946
2097,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510494.005790293,0.101290965194248,5039877,524.232342915962,0.0952144038771434,0.235849056603774,-0.0471698113207547,499.504402212379,479868.884169126,239696620.127221,641188458.840315,460546667.467815
2098,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510495.047637112,0.101291171914932,5039877,524.231273033304,0.0952170386119498,0.235849056603774,-0.0471698113207547,499.503382795884,479882.162908478,239702763.71619,641204892.940808,460563101.568308
2099,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510495.8443812,0.101291330002935,5039877,524.230454851976,0.0952194010556457,0.235849056603774,-0.0471698113207547,499.502603208014,479894.069334124,239708336.896482,641219801.19809,460578009.82559
2100,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510496.425583432,0.101291445323652,5039877,524.229858013496,0.0952215097539616,0.235849056603774,-0.0471698113207547,499.502034522294,479904.696914267,239713372.485481,641233271.398661,460591480.026161
2025,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,97474.0769831722,0.133038991450718,732673,228.50443819894,0.133038991450718,0,0,228.50443819894,97474.0769831722,22273259.2,44546518.4,0
2026,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,95712.3138851266,0.130634422020638,732673,232.710487249658,0.128733403130627,0.161681487469685,-0.0323362974939369,225.185491703994,94319.4886719256,21239380.4338568,84957521.7354273,40411003.3354273
